headline,url,date
"Once rejected by opposition parties, NCMP scheme now a training ground for new faces to cut political teeth",https://www.channelnewsasia.com/singapore/ncmp-parliament-andre-low-eileen-chong-wp-leadership-renewal-5296276,
PAP names new heads for all government parliamentary committees; appoints 20 first-term MPs as members,https://www.channelnewsasia.com/singapore/government-parliamentary-committees-new-chairpersons-pap-parliament-5231246,
"External environment, GE2020 experience, strong groundwork contributed to PAP GE2025 victory: PM Wong",https://www.channelnewsasia.com/singapore/pap-retired-mp-parliament-lawrence-wong-renewal-5220861,
Liang Eng Hwa on election of Seah Kian Peng as Speaker,https://www.channelnewsasia.com/watch/liang-eng-hwa-election-seah-kian-peng-speaker-5334616,
Pritam Singh on election of Seah Kian Peng as Speaker,https://www.channelnewsasia.com/watch/pritam-singh-election-seah-kian-peng-speaker-5334816,
Indranee Rajah on election of Seah Kian Peng as Speaker,https://www.channelnewsasia.com/watch/indranee-rajah-election-seah-kian-peng-speaker-5334821,
MPs sworn in at opening of 15th Parliament,https://www.channelnewsasia.com/watch/mps-sworn-in-opening-15th-parliament-5334656,
"15th Parliament opens, Seah Kian Peng elected as Speaker",https://www.channelnewsasia.com/watch/15th-parliament-opens-seah-kian-peng-elected-speaker-5334596,
WP's Andre Low and Eileen Chong to take up Non-Constituency MP seats,https://www.channelnewsasia.com/watch/wps-andre-low-and-eileen-chong-take-up-non-constituency-mp-seats-5139866,
Parliament highlights: Apr 8,https://www.channelnewsasia.com/watch/parliament-highlights-apr-8-5052251,
Adjournment motion on understanding and responding to intimate partner violence in Singapore,https://www.channelnewsasia.com/watch/adjournment-motion-understanding-and-responding-intimate-partner-violence-singapore-5051896,
Low Yen Ling responds to clarifications sought on Competition (Amendment) Bill,https://www.channelnewsasia.com/watch/low-yen-ling-responds-clarifications-sought-competition-amendment-bill-5051871,
Melvin Yong on Competition (Amendment) Bill,https://www.channelnewsasia.com/watch/melvin-yong-competition-amendment-bill-5051726,
Yip Hon Weng on Competition (Amendment) Bill,https://www.channelnewsasia.com/watch/yip-hon-weng-competition-amendment-bill-5051696,
Low Yen Ling on Competition (Amendment) Bill,https://www.channelnewsasia.com/watch/low-yen-ling-competition-amendment-bill-5051686,
